File Name,Super Label
narrative_1.csv,"""Biden Administration's Impact on U.S. Oil and Gas Prices"""
narrative_2.csv,"""Claims on U.S. Gas Prices and Policies under President Joe Biden"""
narrative_3.csv,"""Biden's Climate Plan and Red Meat Consumption"""
narrative_4.csv,"""Biden's Impact on Fuel Prices"""
narrative_5.csv,"""Joe Biden's Impact on Commodity Prices"""
narrative_6.csv,Biden's Energy Policies and Job Impact
narrative_7.csv,"""U.S. Energy Independence under Trump and Biden Administrations"""
narrative_8.csv,"""Political Stance on Clean Coal and Energy Policies"""
narrative_9.csv,"""Joe Biden's Policies and Statements on Food Control"""
narrative_10.csv,US Government spending under the Biden Administration
narrative_11.csv,"""Joe Biden's Energy Policies and Impact on the U.S. Oil Industry"""
narrative_12.csv,"""Fact-checking Claims about Joe Biden's Impact on Shell Oil Layoffs"""
narrative_13.csv,"""Joe Biden Administration's Alleged Plan to Ban Gas Stoves"""
narrative_14.csv,Joe Biden's Environmental and Agricultural Policies
narrative_15.csv,"""Joe Biden's Stance on Fracking and its Economic Impact"""
narrative_16.csv,"""Joe Biden's Stance on the Green New Deal and Climate Change"""
narrative_17.csv,Joe Biden's Policy on Coal Fired Power Plants
narrative_18.csv,Pipeline Politics and Energy Policies in Biden and Trump Presidencies
narrative_19.csv,"""President Joe Biden's Alleged Gas Relief Initiatives"""
narrative_20.csv,"""Joe Biden's Impact on Oil Industry and Keystone Pipeline"""
narrative_21.csv,"""Joe Biden's Sanctions on Russia and their Implications"""
narrative_22.csv,"""Fact-checking Claims about Biden's Responsibility for Nord Stream Pipeline Leaks"""
narrative_23.csv,"""Joe Biden's Statements and Policies on Climate Change"""
narrative_24.csv,"""Biden Administration's Projections on Future Car Fuel Requirements"""
narrative_25.csv,"""Biden Administration's Approach to Environmental Impact of Lithium Mining"""
narrative_26.csv,"""U.S. Gas Prices During the Obama and Biden Administrations"""
narrative_27.csv,"""Impact of Biden's Executive Orders on Soybean and Corn Prices"""
narrative_28.csv,"""Claims about Biden Administration's Impact on Gas Prices by BP Executive"""
narrative_29.csv,"""Comparison of Gas Prices Under U.S. Presidents Joe Biden and Donald Trump"""
narrative_30.csv,"""Inflation in Commodity Prices under Joe Biden's Administration"""
narrative_31.csv,"""Biden Administration's Statements on Pipeline Workers' Employment"""
